tx,stim,Well,OD_450,OD_540,OD_570,PB_24,FR_24,corrected,loganswer,conc,below,above,Ro_conc,batch,pAldo,pPB,pFR
1,stim,D8,0.246,0.034,0.031,328,44,0.212,2.9473254381707066,878.0683469146484,FALSE,FALSE,1,C,60.920335505898,75.808936825886,90.10238907849829
2.5,stim,E8,0.295,0.033,0.03,331,48,0.262,2.756908943075595,563.6480573576916,FALSE,FALSE,2.5,C,39.1058724325203,76.502311248074,98.29351535836177
5,stim,F8,0.59,0.049,0.044,268,39,0.5409999999999999,1.9947950635411373,91.09790021390006,FALSE,FALSE,5,C,6.3203675026143,61.9414483821263,79.86348122866893
DMSO,stim,A9,0.194,0.044,0.043,445,51,0.15000000000000002,3.2478024125757745,1761.593037373987,FALSE,FALSE,0,C,122.219231838577,102.850539291217,104.43686006825938
0.1,stim,B9,0.199,0.043,0.042,423,51,0.15600000000000003,3.2142301717331208,1629.9734756877633,FALSE,FALSE,0.1,C,113.08747360445,97.7657935285054,104.43686006825938
0.5,stim,C9,0.204,0.044,0.042,402,56,0.15999999999999998,3.192499296521836,1550.044739495086,FALSE,FALSE,0.5,C,107.542022111374,92.9121725731895,114.67576791808874
1,stim,D9,0.227,0.04,0.038,378,57,0.187,3.0575413095012616,1133.9611216807207,FALSE,FALSE,1,C,78.6741626960718,87.3651771956857,116.7235494880546
2.5,stim,E9,0.309,0.038,0.035,392,56,0.271,2.7258791099285307,524.2493903434233,FALSE,FALSE,2.5,C,36.372394997161,90.6009244992296,114.67576791808874
5,stim,F9,0.536,0.045,0.041,297,48,0.49100000000000005,2.1170354631324906,123.21811105403526,FALSE,FALSE,5,C,8.54886603325479,68.6440677966102,98.29351535836177
DMSO,stim,A10,0.195,0.045,0.043,437,53,0.15000000000000002,3.2478024125757745,1761.593037373987,FALSE,FALSE,0,C,122.219231838577,101.001540832049,108.53242320819112
0.1,stim,B10,0.194,0.043,0.042,443,51,0.15100000000000002,3.2421225149439223,1738.6039486616703,FALSE,FALSE,0.1,C,120.624250078614,102.388289676425,104.43686006825938
0.5,stim,C10,0.241,0.041,0.039,360,50,0.19999999999999998,2.9987090033767188,989.3210122551984,FALSE,FALSE,0.5,C,68.6390395478858,83.2049306625578,102.38907849829351
