Metabolite,KEGG,DM_0_1,DM_0_2,DM_0_3,Ro_0_1,Ro_0_2,Ro_0_3,DM_4_1,DM_4_2,DM_4_3,Ro_4_1,Ro_4_2,Ro_4_3,DM_8_1,DM_8_2,DM_8_3,Ro_8_1,Ro_8_2,Ro_8_3,DM_12_1,DM_12_2,DM_12_3,Ro_12_1,Ro_12_2,Ro_12_3,DM_16_1,DM_16_2,DM_16_3,Ro_16_1,Ro_16_2,Ro_16_3,DM_24_1,DM_24_2,DM_24_3,Ro_24_1,Ro_24_2,Ro_24_3
Ethanolamine phosphate,C00346,78867,112020,136481,154901,159127,192511,82193,76313,67971,115976,94406,257519,73924,50434,80218,295710,107766,94706,45549,32349,23674,31967,43981,43017,71112,55525,33777,115055,64932,38550,31494,26059,35014,58834,48570,56332
Sphingosine,C00319,531912,843175,686256,516073,878999,730952,810611,976890,975285,840200,856016,873660,1024972,1174594,1188726,645908,988118,987635,1040014,981175,785852,488129,809884,1012829,675955,807895,604492,774939,714567,474438,1131166,809956,971528,1070362,877392,871879
Acetylcholine,C01996,375635,690237,647023,256057,334172,353819,274884,339976,351047,312408,295369,381440,355356,368742,328951,201571,326380,365506,281237,486300,336213,148865,280484,445823,330895,386771,464513,314550,322820,377110,591812,434085,466936,436755,682029,552135
Choline,C00114,42866580,46210300,49548620,47131090,70169400,79555990,61191380,55127320,63221940,71068150,52236610,59003480,66794540,55633680,61684910,46480660,60697060,68558540,55931220,63974130,64518390,25163810,65254460,70589260,58288960,70726150,74886740,77104480,71611960,65126460,72496020,79406840,82358720,82719220,78068260,68070060
L-Carnitine,C00318,2774265,2197653,2821113,2555166,2106910,1709943,1730121,1515675,1506929,1620096,1599436,1216199,773672,801347,713933,775996,670360,561185,683917,775932,517650,324924,525846,570226,876449,716903,5242816,530190,721128,598724,594437,536496,678539,586855,769093,648765
acyl-C2 (acetyl-carnitine),C02571,763829,854314,602801,739862,542570,663569,380867,391553,407102,465488,478339,478917,359174,251220,283255,258751,376844,357538,296709,376305,267325,165264,413377,463661,381360,374469,3997523,326146,448772,303539,470080,476639,407611,456525,482803,375178
acyl-C3 (propionyl-carnitine),C03017,1351391,1159119,1168969,758354,716762,726952,487433,439992,368303,371851,340886,365978,544262,533386,534566,432885,500797,402414,471531,429930,396395,129360,343416,327585,314760,261246,445286,257374,273430,176295,386038,306112,301975,220580,190112,180111
acyl-C4 (butanoyl-l-carnitine),C02862,258933,208847,280002,172370,217602,247107,223040,262226,228149,214511,176406,248392,365324,204790,196753,110910,191483,193496,185044,175096,209905,20916,161917,154217,243784,268231,447743,212446,205341,184484,205486,205509,278251,212489,190833,203527
acyl-C4-DC,HMDB13133,111706,62966,87712,101754,96939,76512,77576,115924,96443,98649,75118,69030,76775,42903,46922,40551,44871,47976,23872,33530,42732,12044,13088,29936,52281,15042,245126,26222,19104,23483,50439,37821,12267,13700,21746,14643
acyl-C5 (isovalerylcarnitine),C20826,66668,57282,48878,70834,59196,84528,45800,38007,38502,42025,50178,49230,30911,22146,26944,18138,32359,35824,30596,29648,28333,3800,21272,21724,11459,7038,22917,15068,10728,14478,20083,10780,26030,20312,15772,8375
acyl-C5-OH,ac107,117696,141235,135940,109239,133897,130617,139590,130444,101540,142176,116546,90240,123791,85772,73928,58035,72121,68916,65766,39595,61359,6273,49280,54069,76496,58222,90639,22986,30509,38555,42290,52628,39107,36309,36159,24263
acyl-C16 (L-Palmitoylcarnitine),C02990,4131,14012,9234,3036,12059,7076,3697,5332,5979,5563,8330,9331,4146,31587,5343,5385,4283,6739,3675,4803,4325,4465,3973,3831,9431,5987,3653,6106,7790,7276,12411,7108,15514,8638,12074,7693
Heptanoic acid,C17714,63751,129687,90175,63904,138000,114290,69475,84555,79781,59833,95089,122910,97266,121868,117438,106925,92671,94766,96952,114110,57646,70320,90110,78868,111469,93965,80393,87740,108294,118667,111423,86165,117720,115925,126228,127528
Octanoic acid (caprylate),C06423,172593,245201,206776,133695,241441,204207,141203,192780,160235,133683,211671,248217,230085,231572,223668,158142,251073,209139,220232,207853,184079,210023,186213,213215,202208,188366,171678,211680,202726,256974,191972,123846,210829,244063,211717,183790
Nonanoic acid (pelargonate),C01601,453003,684924,587158,471531,727033,597268,287004,592801,483656,542520,615181,618807,654356,564816,587746,723609,738761,546852,652775,649321,520427,666382,642600,583037,643267,602229,585802,692902,590212,719623,464945,559415,666709,638837,609678,710288
Decanoic acid (caprate),C01571,113434,130595,106992,81224,116719,124107,94034,109606,90781,119426,125640,147085,127630,102394,124473,112023,125484,143443,115419,115601,125090,110989,107117,110237,138231,107116,93662,120585,118403,157149,100221,101640,133565,124007,119539,125434
Dodecanoic acid,C02679,43262,132798,102471,123760,102803,114562,108738,97474,82237,105015,85893,114348,104567,98792,107286,110200,100790,91199,84971,96615,115632,92760,108818,89745,94161,99609,137107,108560,88438,97621,104363,82770,102133,82374,98288,92004
Tetradecanoic acid,C06424,518722,367335,341988,475075,307744,304377,424535,351084,253840,335923,306521,268434,292445,337539,269579,332238,330120,292964,306472,324041,469134,272175,335017,224446,168164,317206,370581,331613,267937,316828,356479,306850,290503,205341,294160,372190
Octadecanoic acid,C01530,16997440,11510580,10220450,14768520,13463750,12853640,15420340,10323090,9375100,13065310,13630820,11786450,10064560,13199870,10564630,10766640,11822110,10959060,10833450,10662390,11980300,12300390,10333110,8136868,11371850,11818140,13989150,11642850,11891530,10820140,13407920,11202340,11690080,9109737,10989120,12460870
Tetradecenoic acid,C08322,27361,12811,15244,12439,10360,9062,10319,10993,7964,9388,10043,9932,7982,10354,8067,10362,8100,12700,8269,9281,13567,8971,8013,9539,7817,11402,25635,10990,9406,11452,11839,9766,11566,9605,8185,29500
Hexadecenoic acid,C08362,292691,104175,199448,88300,59995,75805,96184,81030,69823,79868,69220,55530,67060,87079,65666,62985,79807,102173,69405,69315,107697,50465,71147,86877,58369,127982,413283,85624,68681,113510,101440,93442,82232,60293,72434,268129
Octadecenoic acid,C00712,888296,539749,600387,764896,544850,524608,935798,680958,626800,763360,731106,633638,479415,740018,570316,572968,589833,595849,575876,582971,770949,571809,714596,461665,510412,645908,2925855,716917,753504,679511,688234,745479,733130,618111,591622,680324
Linoleate,C01595,179201,163944,165638,256415,181086,160992,190891,158136,155684,179076,236179,138147,134081,190155,151135,156058,148214,158854,153136,141789,169554,168170,180441,130408,122160,139881,1946231,167345,179159,168340,202471,182053,171854,133526,165684,164055
Eicosatetraenoic acid,C00219,58125,48619,44967,91550,71443,76123,93405,61321,70226,70885,82774,61217,63748,81561,57939,51706,80956,56586,72308,51035,87856,66717,80510,37805,40869,69289,170977,98459,98424,89706,66021,81874,77774,80264,53364,51398
Docosahexaenoic acid,C06429,4414,4540,2844,6156,4895,4495,7213,4693,5697,6183,6437,6190,3844,3667,2831,3353,3732,3302,4621,3026,3879,5135,5348,3322,4405,4946,11834,7212,7142,4449,4382,4169,4178,4644,4681,5461
(8Z-11Z-14Z)-Icosatrienoic acid,C03242,68639,41905,35701,56352,43981,46475,55337,42565,42860,42254,48426,36498,32116,48790,43566,26974,44745,41944,44257,37344,42039,38295,55844,35511,33413,43016,55210,61836,65608,51296,35521,55776,34188,49697,38602,41273
(7Z-10Z-13Z-16Z-19Z)-Docosa-7-10-13-16-19-pentaenoic acid,C16513,12769,10162,8827,14351,10865,11085,16145,13330,10970,13313,16937,11312,7416,11527,9651,9177,11014,7846,9375,8207,9763,9204,11060,7941,7197,8439,13515,13697,11545,11817,10401,11310,10100,6904,9535,8889
